MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability,Total_Risk,Infrastructure_Risk,Natural_Risk,Human_Risk,Water_Risk
6,3,6,5,9,4,5,1,5,4,9,9,4,4,3,4,8,4,3,6,0.51,102,7,13,18,16
7,5,6,7,7,6,3,2,3,5,11,5,4,4,3,4,2,4,10,6,0.52,104,14,14,19,13
7,11,3,6,6,3,6,5,3,0,7,3,1,2,5,3,2,5,6,8,0.46,92,9,14,12,11
9,8,2,6,2,6,2,3,9,8,7,6,4,8,3,5,8,5,7,7,0.575,115,12,20,16,11
2,5,2,5,2,5,6,8,3,4,5,2,3,5,8,8,2,5,4,5,0.445,89,12,15,11,12
6,1,5,6,4,8,7,2,6,5,7,4,6,7,7,1,5,1,4,4,0.48,96,5,20,15,11
6,4,4,4,7,7,5,6,3,3,10,4,4,10,1,4,5,6,6,11,0.55,110,10,17,14,14
6,8,2,3,2,6,4,4,4,6,7,3,8,6,3,10,2,4,3,2,0.465,93,13,15,11,9
4,5,6,7,4,10,7,5,6,0,7,6,2,3,2,2,4,8,5,5,0.49,98,7,9,11,17
5,11,7,11,2,9,3,4,2,6,6,4,5,5,3,5,7,5,1,7,0.54,108,6,13,19,15
3,4,3,7,5,6,4,7,7,4,5,8,2,8,7,9,3,2,7,5,0.53,106,16,18,16,18
5,5,4,3,10,8,4,2,9,6,6,10,3,4,5,6,5,8,7,7,0.585,117,13,14,19,16
5,4,7,5,1,7,6,4,7,7,2,7,4,3,4,9,8,5,1,4,0.5,100,10,12,13,18
3,6,7,3,3,5,4,4,2,5,2,3,5,9,7,6,6,4,4,5,0.465,93,10,19,11,14
6,8,4,4,6,3,8,2,1,2,4,5,6,3,4,4,6,3,5,5,0.445,89,9,13,12,11
7,4,3,4,4,3,4,5,5,5,2,6,6,6,5,8,6,6,8,7,0.52,104,16,18,13,14
6,5,4,6,3,1,3,4,2,7,7,4,8,10,4,3,6,2,9,3,0.485,97,12,20,16,12
4,4,7,6,5,4,2,4,6,4,6,8,4,5,7,6,2,4,4,5,0.485,97,10,16,15,19
5,2,3,4,5,8,5,2,3,2,11,3,14,1,4,8,7,10,3,5,0.525,105,11,10,11,8
2,10,6,6,3,5,4,4,8,10,7,3,3,8,3,5,2,6,6,5,0.53,106,11,13,19,13
7,4,1,3,8,5,4,0,9,10,5,3,10,6,5,2,3,6,7,5,0.515,103,9,18,21,4
1,5,5,4,4,6,3,5,14,5,2,4,5,3,6,8,5,2,3,8,0.49,98,11,10,13,14
2,4,8,5,2,8,6,6,3,10,5,3,5,7,1,1,1,2,7,6,0.46,92,8,10,17,17
4,4,6,8,5,5,5,5,8,7,7,2,5,4,7,8,5,4,3,5,0.535,107,11,15,20,13
3,11,5,2,2,4,2,5,3,7,5,8,12,4,3,3,7,3,7,4,0.5,100,10,10,11,18
4,3,4,7,3,6,3,4,4,7,6,6,6,6,6,6,4,6,6,3,0.5,100,12,16,17,14
3,6,10,4,6,7,6,7,9,7,7,4,4,8,4,7,3,3,5,4,0.57,114,12,15,17,21
4,7,2,3,7,8,7,4,2,7,7,5,5,3,5,2,5,10,5,7,0.525,105,7,12,17,11
3,3,4,1,5,3,2,8,5,7,4,5,9,2,5,8,3,4,2,3,0.43,86,10,10,13,17
3,7,3,4,1,0,4,5,8,4,9,4,9,7,9,2,3,2,3,10,0.485,97,5,19,9,12
9,6,7,2,4,5,3,7,9,3,4,9,6,4,6,5,5,5,6,8,0.565,113,11,19,9,23
1,7,5,4,8,4,8,1,4,4,3,6,9,5,4,4,4,4,6,9,0.5,100,10,10,16,12
4,8,4,3,3,5,8,3,2,4,5,3,5,4,4,5,2,1,6,4,0.415,83,11,12,10,10
7,3,4,11,6,1,2,4,0,4,1,5,4,5,3,2,4,6,4,3,0.395,79,6,15,21,13
7,5,5,5,3,6,6,9,5,8,6,4,4,6,2,5,6,5,4,7,0.54,108,9,15,16,18
10,7,8,8,8,5,3,4,2,5,2,5,3,3,4,1,7,7,7,5,0.52,104,8,17,21,17
3,3,5,3,4,6,5,3,2,5,5,4,7,3,7,3,8,6,2,2,0.43,86,5,13,12,12
4,5,6,3,8,6,9,7,5,2,7,3,7,2,4,1,10,7,3,7,0.53,106,4,10,13,16
7,5,6,5,3,6,3,2,7,7,4,4,5,4,7,10,7,4,3,5,0.52,104,13,18,15,12
8,2,6,5,7,7,3,4,5,4,3,5,4,4,3,5,3,3,5,2,0.44,88,10,15,16,15
4,4,6,6,5,9,9,9,4,2,2,7,4,6,4,4,4,5,5,2,0.505,101,9,14,13,22
6,4,3,5,4,9,6,6,7,7,4,6,7,3,6,5,4,4,2,4,0.51,102,7,15,16,15
2,1,6,5,9,7,3,7,5,3,5,5,6,6,7,3,2,8,3,5,0.49,98,6,15,17,18
6,6,2,1,6,1,5,4,4,4,3,4,1,3,5,9,4,6,3,9,0.43,86,12,14,11,10
5,4,7,3,4,7,2,7,7,4,6,6,6,4,2,5,5,6,5,7,0.51,102,10,11,11,20
8,4,5,9,2,5,6,5,9,6,4,5,5,3,4,5,4,2,8,4,0.515,103,13,15,17,15
6,5,2,4,7,6,5,2,1,6,8,2,4,5,2,1,3,2,6,8,0.425,85,7,13,17,6
10,3,5,6,5,3,4,5,5,3,5,7,7,5,10,8,7,7,6,5,0.58,116,14,25,14,17
7,8,6,3,6,8,3,7,7,3,5,4,6,3,5,7,8,7,6,5,0.57,114,13,15,12,17
3,4,1,11,6,4,5,5,3,8,4,4,7,1,6,8,4,3,6,8,0.505,101,14,10,25,10
6,3,5,2,4,6,6,5,8,5,15,8,4,5,7,5,5,2,2,4,0.535,107,7,18,11,18
5,5,5,4,6,4,4,8,3,3,1,5,5,2,7,4,7,5,5,4,0.46,92,9,14,13,18
5,4,6,7,9,4,4,6,2,8,9,6,8,5,3,8,8,8,5,4,0.595,119,13,13,24,18
2,3,7,7,7,3,11,4,5,5,2,6,4,3,7,4,3,2,4,3,0.46,92,8,12,19,17
4,3,6,7,7,5,5,3,6,3,5,4,4,7,5,5,3,3,6,4,0.475,95,11,16,17,13
5,8,3,4,4,2,7,3,2,3,4,7,6,6,8,5,6,5,4,8,0.5,100,9,19,11,13
10,5,4,3,5,2,8,6,5,5,6,8,3,2,1,8,5,2,1,3,0.46,92,9,13,13,18
5,5,5,4,2,4,6,7,5,6,6,4,7,4,8,3,7,5,2,7,0.51,102,5,17,12,16
1,9,1,3,3,6,7,3,8,6,9,7,6,4,2,4,7,6,2,1,0.475,95,6,7,12,11
5,3,3,5,4,5,7,5,3,1,2,5,2,1,3,7,8,5,8,4,0.43,86,15,9,10,13
9,8,6,8,7,8,10,4,5,5,1,3,4,3,5,1,7,6,4,4,0.54,108,5,17,20,13
6,4,3,6,4,1,4,5,4,7,7,11,10,5,9,6,7,7,8,7,0.605,121,14,20,17,19
3,6,2,3,7,4,4,6,2,5,8,2,5,3,2,7,2,2,5,4,0.41,82,12,8,15,10
5,9,7,8,5,6,9,4,7,6,3,1,4,6,6,8,1,3,7,3,0.54,108,15,17,19,12
6,5,5,8,6,6,9,7,2,7,4,5,5,7,5,2,8,5,6,7,0.575,115,8,18,21,17
2,3,3,7,9,4,8,6,6,2,3,8,2,8,5,6,8,2,4,5,0.505,101,10,15,18,17
7,3,2,2,1,5,5,5,5,9,4,8,5,9,6,5,4,4,8,8,0.525,105,13,22,12,15
3,10,9,4,2,4,5,5,4,6,6,6,8,6,4,8,3,5,7,6,0.555,111,15,13,12,20
5,6,4,10,6,4,7,3,6,3,7,4,6,6,2,4,8,4,5,5,0.525,105,9,13,19,11
9,2,1,6,7,5,7,7,4,9,3,4,7,7,4,7,3,5,7,7,0.555,111,14,20,22,12
2,0,7,6,4,5,5,2,7,5,3,4,2,2,2,7,5,4,6,6,0.42,84,13,6,15,13
3,4,6,6,5,6,4,5,2,7,6,7,5,4,6,5,2,7,6,5,0.505,101,11,13,18,18
7,4,5,6,12,3,6,6,4,6,6,4,4,5,2,2,5,5,5,2,0.495,99,7,14,24,15
3,7,5,4,5,4,8,5,7,5,5,9,2,7,7,4,3,3,4,3,0.5,100,8,17,14,19
2,4,5,5,3,3,5,5,5,5,4,5,4,1,4,7,4,6,7,5,0.445,89,14,7,13,15
5,5,3,2,6,3,5,9,3,1,5,7,3,3,3,2,8,3,6,4,0.43,86,8,11,9,19
4,8,3,7,3,4,3,3,4,5,5,4,8,5,2,3,4,10,1,3,0.445,89,4,11,15,10
5,3,6,3,2,6,5,3,6,5,4,4,8,6,5,5,5,4,5,1,0.455,91,10,16,10,13
5,6,3,2,3,6,4,12,7,6,4,2,9,3,5,5,11,3,5,7,0.54,108,10,13,11,17
4,4,6,5,7,4,9,3,8,5,5,4,7,3,6,5,9,3,9,3,0.545,109,14,13,17,13
3,4,3,8,3,2,5,6,2,6,5,6,2,8,3,4,5,6,6,3,0.45,90,10,14,17,15
7,5,2,2,6,3,4,8,3,5,4,1,5,4,13,2,7,4,7,6,0.49,98,9,24,13,11
4,5,2,2,6,6,6,7,4,4,6,1,11,3,7,7,5,11,5,5,0.535,107,12,14,12,10
5,1,8,5,8,2,1,3,2,2,7,3,4,5,7,5,5,5,5,10,0.465,93,10,17,15,14
2,3,3,8,2,5,3,4,8,5,7,6,5,5,5,5,5,4,5,4,0.47,94,10,12,15,13
4,9,3,5,5,1,4,3,3,7,7,7,4,4,8,5,5,7,4,6,0.505,101,9,16,17,13
6,6,3,6,7,5,5,1,10,4,4,4,3,1,6,4,2,6,2,10,0.475,95,6,13,17,8
4,5,4,9,9,4,8,5,4,4,7,2,4,4,8,2,2,9,3,7,0.52,104,5,16,22,11
3,6,11,3,3,4,6,3,4,5,2,8,7,2,7,6,5,6,6,6,0.515,103,12,12,11,22
6,0,2,8,5,3,8,5,4,5,6,5,8,3,6,3,1,5,6,5,0.47,94,9,15,18,12
11,2,4,4,5,5,6,5,3,2,8,11,3,6,5,6,4,5,3,2,0.5,100,9,22,11,20
4,4,8,9,8,4,4,5,8,4,7,7,4,9,4,6,5,3,2,8,0.565,113,8,17,21,20
4,7,5,7,8,6,2,4,4,3,4,3,6,4,2,6,11,3,8,4,0.505,101,14,10,18,12
2,3,6,4,1,7,4,10,8,6,5,8,7,4,5,5,7,5,6,8,0.555,111,11,11,11,24
4,4,5,2,1,6,7,4,8,2,6,2,2,10,8,9,5,9,4,8,0.53,106,13,22,5,11
4,4,4,4,2,6,6,5,4,5,4,2,2,9,6,1,5,3,7,8,0.455,91,8,19,11,11
3,2,8,1,3,8,3,2,6,4,9,6,8,4,4,4,7,6,5,4,0.485,97,9,11,8,16
5,3,3,7,8,6,8,4,5,6,3,7,3,7,3,5,2,5,2,5,0.485,97,7,15,21,14
6,5,2,7,6,5,9,6,3,1,1,4,1,6,7,8,4,5,5,8,0.495,99,13,19,14,12
5,6,4,5,4,4,3,3,3,10,4,4,4,2,4,3,3,7,2,6,0.43,86,5,11,19,11
5,8,10,4,2,4,2,5,6,7,3,6,3,2,1,1,8,2,7,5,0.455,91,8,8,13,21
7,7,4,8,7,2,4,4,3,7,3,2,6,4,5,7,4,4,1,3,0.46,92,8,16,22,10
7,8,2,6,9,4,7,7,2,4,7,7,4,6,6,4,7,4,7,4,0.56,112,11,19,19,16
4,9,7,6,6,6,3,2,3,3,2,5,6,7,7,8,4,1,8,4,0.505,101,16,18,15,14
5,3,4,3,3,2,2,5,6,3,8,4,7,5,9,4,1,5,8,9,0.48,96,12,19,9,13
5,5,6,5,5,4,2,4,4,5,6,6,2,5,2,4,4,4,3,4,0.425,85,7,12,15,16
6,5,3,5,6,1,3,7,2,5,4,1,4,3,5,5,3,6,3,3,0.4,80,8,14,16,11
4,5,2,3,9,9,7,5,2,6,5,6,5,5,3,3,1,5,9,7,0.505,101,12,12,18,13
2,5,6,7,6,3,3,7,7,4,4,3,6,8,7,4,3,4,4,4,0.485,97,8,17,17,16
7,8,9,5,8,4,5,7,4,4,3,3,10,6,3,7,5,4,4,4,0.55,110,11,16,17,19
6,3,2,3,4,4,6,0,8,6,6,6,8,4,3,5,6,3,5,4,0.46,92,10,13,13,8
5,5,6,4,5,2,5,5,6,8,5,7,7,10,4,5,7,8,7,4,0.575,115,12,19,17,18
2,3,6,7,4,7,1,4,7,8,2,11,7,1,4,3,9,3,5,7,0.505,101,8,7,19,21
7,6,3,6,7,3,11,4,6,8,10,3,4,6,2,6,5,5,8,4,0.57,114,14,15,21,10
3,3,4,6,0,4,5,3,2,4,5,5,5,6,5,8,4,5,9,5,0.455,91,17,14,10,12
5,5,5,3,6,7,6,7,11,6,2,6,4,5,8,3,3,3,3,5,0.515,103,6,18,15,18
5,7,4,9,7,8,4,7,3,13,6,4,5,5,3,6,8,4,3,7,0.59,118,9,13,29,15
7,8,7,3,6,1,6,4,6,3,2,4,7,6,5,5,10,3,4,3,0.5,100,9,18,12,15
8,2,1,4,3,1,5,3,7,5,4,7,5,8,4,4,8,2,6,4,0.455,91,10,20,12,11
5,2,0,9,4,2,2,6,3,3,7,2,6,8,6,6,4,5,9,6,0.475,95,15,19,16,8
6,5,3,4,5,3,2,8,5,3,3,4,7,6,4,3,2,10,3,5,0.455,91,6,16,12,15
6,9,2,3,5,4,8,3,6,7,5,5,3,2,6,4,9,3,4,5,0.495,99,8,14,15,10
4,7,4,8,8,4,2,5,2,7,6,1,4,5,8,6,7,0,3,3,0.47,94,9,17,23,10
6,8,4,7,3,4,8,2,2,8,8,2,10,7,5,10,4,4,4,8,0.57,114,14,18,18,8
4,5,6,4,5,4,6,5,5,3,11,7,3,3,4,6,3,2,8,1,0.475,95,14,11,12,18
3,5,8,7,3,6,8,3,2,5,3,4,8,7,8,5,3,2,2,3,0.475,95,7,18,15,15
1,9,9,3,4,6,2,2,8,6,4,4,4,4,6,7,6,7,4,8,0.52,104,11,11,13,15
5,3,5,6,6,6,1,4,1,4,6,3,6,6,8,5,3,2,5,6,0.455,91,10,19,16,12
4,9,5,0,4,7,3,4,5,4,1,6,5,3,4,6,1,12,8,4,0.475,95,14,11,8,15
6,10,7,3,3,4,3,6,4,5,4,12,7,3,2,7,7,4,2,9,0.54,108,9,11,11,25
5,3,11,6,3,8,4,5,5,2,11,8,11,4,4,4,6,7,4,5,0.58,116,8,13,11,24
3,5,6,4,7,4,4,2,8,7,4,6,4,6,2,9,9,4,6,5,0.525,105,15,11,18,14
8,6,3,3,6,8,8,3,7,4,8,6,4,4,4,3,8,4,5,3,0.525,105,8,16,13,12
4,6,6,4,9,5,7,6,4,5,8,6,3,3,7,9,6,3,4,7,0.56,112,13,14,18,18
0,8,8,8,6,6,4,9,4,7,3,8,3,4,1,6,7,6,4,7,0.545,109,10,5,21,25
3,5,7,5,5,8,6,11,3,7,3,8,6,5,6,3,4,3,3,2,0.515,103,6,14,17,26
2,4,2,5,6,4,3,6,3,10,6,3,2,4,5,6,4,5,7,3,0.45,90,13,11,21,11
3,3,5,3,2,5,5,3,2,6,6,11,11,4,0,7,4,5,5,6,0.48,96,12,7,11,19
6,5,4,6,5,4,2,5,1,9,2,3,7,6,3,7,5,4,2,5,0.455,91,9,15,20,12
4,8,6,9,2,4,7,6,6,4,9,6,5,8,4,3,5,7,1,8,0.56,112,4,16,15,18
1,5,5,9,5,5,5,11,6,7,4,2,5,8,4,4,5,7,2,3,0.515,103,6,13,21,18
6,4,6,6,3,12,3,4,7,4,8,7,4,4,1,4,3,5,8,6,0.525,105,12,11,13,17
5,5,7,3,6,3,7,1,5,2,3,5,8,4,3,6,5,5,6,7,0.48,96,12,12,11,13
5,7,9,3,4,4,11,4,5,3,10,5,6,2,4,7,5,5,2,3,0.52,104,9,11,10,18
2,6,0,8,5,3,6,7,10,6,4,9,3,7,6,4,3,10,4,3,0.53,106,8,15,19,16
1,3,2,3,3,3,5,2,7,2,10,6,3,7,5,3,4,7,4,5,0.425,85,7,13,8,10
4,5,3,9,4,1,7,7,8,11,7,3,7,5,6,9,5,8,4,6,0.595,119,13,15,24,13
8,6,3,6,5,4,5,6,1,2,5,4,3,5,4,4,2,6,7,4,0.45,90,11,17,13,13
1,4,4,6,6,2,6,6,5,3,0,5,4,4,7,4,2,8,4,7,0.44,88,8,12,15,15
7,5,3,5,8,3,6,3,7,8,5,2,6,7,8,7,4,4,2,6,0.53,106,9,22,21,8
6,4,3,5,4,3,9,3,4,5,5,7,6,7,7,5,2,3,6,5,0.495,99,11,20,14,13
4,2,6,3,7,6,7,3,5,8,1,5,6,5,8,2,2,6,4,5,0.475,95,6,17,18,14
4,10,6,6,6,0,3,4,8,4,5,4,10,8,8,7,4,3,7,3,0.55,110,14,20,16,14
5,7,3,3,5,1,5,9,7,10,4,8,2,2,5,6,4,4,8,6,0.52,104,14,12,18,20
2,6,5,5,5,9,5,7,6,7,3,5,5,5,6,11,4,6,5,1,0.54,108,16,13,17,17
4,5,2,3,6,9,5,5,4,4,7,4,3,7,4,3,3,4,8,1,0.455,91,11,15,13,11
5,6,6,9,3,5,7,6,6,1,3,3,5,3,4,8,9,2,7,3,0.505,101,15,12,13,15
4,10,8,6,7,2,3,1,6,2,8,3,9,4,7,5,4,5,6,8,0.54,108,11,15,15,12
3,5,5,6,1,4,5,5,3,4,3,4,6,5,3,4,4,4,3,4,0.405,81,7,11,11,14
1,5,4,7,4,5,2,8,10,5,5,3,6,3,7,6,5,7,10,7,0.55,110,16,11,16,15
4,4,3,6,5,4,4,11,5,4,4,4,12,2,5,4,3,5,4,3,0.48,96,8,11,15,18
2,2,5,7,5,3,4,2,8,4,3,3,4,7,2,8,5,2,4,7,0.435,87,12,11,16,10
9,4,3,6,8,5,6,7,5,6,7,2,6,2,3,2,4,7,4,5,0.505,101,6,14,20,12
5,4,4,6,4,5,4,3,10,5,7,6,8,6,5,9,4,7,4,4,0.55,110,13,16,15,13
1,8,5,5,3,6,4,2,7,5,6,7,6,2,9,8,6,6,7,7,0.55,110,15,12,13,14
5,9,9,4,9,6,2,3,7,2,3,4,5,7,3,3,9,9,8,3,0.55,110,11,15,15,16
5,2,6,2,7,3,3,7,7,4,3,1,6,7,3,8,1,5,2,6,0.44,88,10,15,13,14
6,7,7,3,7,12,3,5,4,4,2,3,8,4,5,7,6,5,4,4,0.53,106,11,15,14,15
3,6,4,9,4,5,4,4,5,10,2,5,2,3,5,9,3,5,6,5,0.495,99,15,11,23,13
6,8,4,5,4,2,2,4,5,8,2,7,1,4,7,8,5,3,3,9,0.485,97,11,17,17,15
1,4,9,5,2,2,5,3,4,7,5,1,3,1,5,6,8,1,4,6,0.41,82,10,7,14,13
8,5,4,7,5,1,8,5,3,1,6,4,5,3,7,4,2,3,6,3,0.45,90,10,18,13,13
1,3,4,6,9,2,6,3,3,3,4,7,7,3,4,10,2,4,3,6,0.45,90,13,8,18,14
2,5,4,4,8,6,4,9,7,3,5,4,7,5,3,5,3,3,13,12,0.56,112,18,10,15,17
3,2,6,1,4,6,4,6,5,2,3,3,2,9,4,5,6,1,5,4,0.405,81,10,16,7,15
4,6,3,6,7,4,2,9,5,5,7,8,3,3,4,7,3,6,6,0,0.49,98,13,11,18,20
6,3,4,6,5,4,9,8,4,7,6,5,7,2,5,6,3,4,1,3,0.49,98,7,13,18,17
5,6,13,4,10,2,5,5,1,9,5,1,1,6,8,2,14,5,5,5,0.56,112,7,19,23,19
2,6,7,3,7,9,4,5,5,3,4,2,4,6,4,1,3,5,7,4,0.455,91,8,12,13,14
2,5,4,7,3,6,7,5,3,8,4,7,8,1,8,6,6,5,10,5,0.55,110,16,11,18,16
6,10,7,5,5,5,5,7,3,5,3,8,2,4,6,3,5,4,3,1,0.485,97,6,16,15,22
7,3,4,4,11,8,4,9,6,2,3,5,2,5,3,4,4,7,2,2,0.475,95,6,15,17,18
4,5,3,9,9,4,5,2,4,6,6,4,6,12,2,8,4,3,10,5,0.555,111,18,18,24,9
10,5,3,0,5,7,3,9,11,1,3,3,5,6,1,3,4,2,8,4,0.465,93,11,17,6,15
1,12,4,9,3,6,6,9,0,6,4,4,7,7,6,6,10,2,3,6,0.555,111,9,14,18,17
3,4,9,4,1,7,4,2,8,3,5,7,7,3,6,7,3,0,3,6,0.46,92,10,12,8,18
6,4,5,3,5,7,2,4,4,4,6,8,5,2,3,7,4,6,4,8,0.485,97,11,11,12,17
4,4,2,5,5,5,3,5,3,6,4,1,2,5,3,4,6,4,4,5,0.4,80,8,12,16,8
6,6,4,1,6,2,5,3,5,2,3,9,7,4,4,4,8,6,4,0,0.445,89,8,14,9,16
5,3,1,7,6,4,4,7,6,3,3,6,6,5,8,7,8,6,5,6,0.53,106,12,18,16,14
7,5,9,5,7,2,5,8,3,8,3,3,10,3,6,6,7,2,7,4,0.55,110,13,16,20,20
6,7,5,4,10,4,5,3,5,3,4,2,7,3,7,2,5,5,9,4,0.5,100,11,16,17,10
2,8,4,8,8,6,5,6,8,4,3,6,2,1,1,3,6,6,4,6,0.485,97,7,4,20,16
4,5,5,3,10,2,5,4,6,7,6,3,3,3,3,4,7,2,6,9,0.485,97,10,10,20,12
5,2,9,8,4,3,10,4,6,3,3,2,5,7,3,3,4,4,3,6,0.47,94,6,15,15,15
4,5,1,11,3,4,6,6,9,8,8,3,6,8,5,5,3,4,10,5,0.57,114,15,17,22,10
4,7,5,4,4,3,2,8,7,7,2,5,3,3,5,5,1,6,8,7,0.48,96,13,12,15,18
8,5,5,9,7,4,3,10,5,4,7,7,6,4,1,5,6,11,5,5,0.585,117,10,13,20,22
3,6,5,2,4,7,6,1,10,2,7,5,4,4,5,4,3,4,4,9,0.475,95,8,12,8,11
6,4,4,3,5,5,9,6,4,4,4,2,9,8,7,5,5,7,4,7,0.54,108,9,21,12,12
8,5,7,3,3,4,4,4,2,7,5,4,2,4,7,1,6,5,4,7,0.46,92,5,19,13,15
5,3,9,5,4,6,10,4,4,5,5,5,6,4,7,8,4,8,2,3,0.535,107,10,16,14,18
5,3,9,5,2,1,4,5,4,4,2,5,7,2,6,10,6,5,6,3,0.47,94,16,13,11,19
4,3,4,5,5,7,5,5,2,6,4,4,4,3,1,5,3,2,5,4,0.405,81,10,8,16,13
5,10,5,8,8,2,7,7,7,5,5,4,5,3,3,7,11,11,3,4,0.6,120,10,11,21,16
7,4,10,4,3,1,7,4,9,4,4,4,7,2,6,3,4,11,3,4,0.505,101,6,15,11,18
5,5,5,1,5,4,2,3,1,3,2,7,6,3,4,4,3,5,3,3,0.37,74,7,12,9,15
5,4,6,7,6,4,5,4,7,4,5,1,5,7,4,7,1,5,2,3,0.46,92,9,16,17,11
5,5,4,7,4,9,7,6,7,9,8,2,8,4,5,7,5,5,6,4,0.585,117,13,14,20,12
8,3,2,4,2,3,4,5,12,2,4,5,7,1,5,4,3,2,4,6,0.43,86,8,14,8,12
7,8,7,4,3,4,2,2,7,5,4,1,5,4,5,7,5,7,3,4,0.47,94,10,16,12,10
2,4,2,1,6,6,8,3,2,7,3,2,5,6,3,5,5,7,10,2,0.445,89,15,11,14,7
3,2,6,5,4,5,5,7,6,7,3,5,6,8,2,6,11,7,6,7,0.555,111,12,13,16,18
5,5,2,8,3,5,6,1,0,5,6,3,6,6,5,6,6,7,6,2,0.465,93,12,16,16,6
9,4,5,4,2,2,3,5,1,9,4,5,2,3,9,4,4,7,5,7,0.47,94,9,21,15,15
8,3,7,6,8,4,5,6,3,9,8,2,2,6,8,3,5,4,4,6,0.535,107,7,22,23,15
5,7,3,4,5,8,7,5,7,2,5,1,6,4,7,5,5,4,7,4,0.505,101,12,16,11,9
5,6,1,3,5,8,8,2,5,10,6,4,3,4,6,3,3,5,7,4,0.49,98,10,15,18,7
7,6,9,4,9,5,6,3,4,4,6,5,4,5,7,2,5,3,4,3,0.505,101,6,19,17,17
5,6,7,4,6,3,5,5,1,3,4,3,3,9,3,4,8,3,7,9,0.49,98,11,17,13,15
8,1,6,4,5,6,11,3,3,6,5,7,7,8,5,6,2,7,7,3,0.55,110,13,21,15,16
8,9,7,7,6,8,5,7,4,5,5,2,4,5,7,6,5,1,4,4,0.545,109,10,20,18,16
3,3,1,5,9,6,6,2,2,4,5,4,5,6,7,4,4,5,3,4,0.44,88,7,16,18,7
7,6,1,10,5,2,2,7,7,5,4,4,3,4,4,3,1,7,3,5,0.45,90,6,15,20,12
6,4,2,2,3,5,7,7,5,6,0,6,7,7,5,7,6,3,4,3,0.475,95,11,18,11,15
3,7,10,5,4,3,4,9,14,3,5,4,6,7,6,7,6,2,4,5,0.57,114,11,16,12,23
5,3,6,3,5,6,5,4,7,5,6,9,4,5,7,8,5,4,2,5,0.52,104,10,17,13,19
3,8,7,8,4,2,3,6,5,4,4,6,4,5,7,5,0,2,4,8,0.475,95,9,15,16,19
5,8,2,4,6,8,3,3,5,6,10,4,3,5,5,8,6,5,7,5,0.54,108,15,15,16,9
6,7,10,6,6,4,3,5,5,2,3,3,4,5,13,5,8,6,5,6,0.56,112,10,24,14,18
11,8,8,3,6,6,4,7,5,0,1,5,3,6,7,3,3,6,1,6,0.495,99,4,24,9,20
6,5,4,5,6,7,2,7,3,4,7,2,4,5,3,10,2,3,7,3,0.475,95,17,14,15,13
2,6,3,3,7,10,7,5,9,4,6,1,5,4,6,6,7,4,3,4,0.51,102,9,12,14,9
3,4,2,2,5,4,9,5,7,6,8,9,8,1,7,5,3,4,6,6,0.52,104,11,11,13,16
7,2,6,8,4,9,5,4,10,7,8,5,6,12,6,2,5,4,6,5,0.605,121,8,25,19,15
7,4,2,5,5,9,3,5,7,6,7,5,7,2,6,2,8,4,5,5,0.52,104,7,15,16,12
8,6,3,7,6,8,9,11,8,3,8,3,10,1,5,5,3,6,3,0,0.565,113,8,14,16,17
6,8,2,4,4,8,2,9,8,6,4,4,5,6,4,5,7,4,2,6,0.52,104,7,16,14,15
5,5,9,5,4,5,7,6,6,9,3,5,3,4,4,2,3,5,4,1,0.475,95,6,13,18,20
6,1,5,3,5,10,5,7,4,9,11,4,2,5,6,2,3,6,7,4,0.525,105,9,17,17,16
7,4,7,5,0,6,10,5,1,6,1,5,3,6,7,7,4,10,5,6,0.525,105,12,20,11,17
4,8,9,3,9,5,7,6,1,3,9,4,5,7,3,3,4,5,2,4,0.505,101,5,14,15,19
7,1,5,3,5,9,6,6,3,4,9,8,5,6,7,6,4,6,2,12,0.57,114,8,20,12,19
6,4,5,3,7,4,6,7,1,5,11,4,2,3,5,1,6,6,3,5,0.47,94,4,14,15,16
5,6,2,5,6,6,7,4,7,4,6,10,2,7,4,5,7,7,4,6,0.55,110,9,16,15,16
4,7,7,2,1,8,6,6,8,6,4,4,3,0,4,1,5,4,1,9,0.45,90,2,8,9,17
5,7,2,3,7,7,4,2,5,7,5,3,5,5,5,9,5,3,5,6,0.5,100,14,15,17,7
3,5,3,7,4,6,2,6,6,2,6,8,6,6,5,8,6,5,5,5,0.52,104,13,14,13,17
9,4,4,1,5,3,7,6,3,5,4,6,2,8,5,0,3,1,3,8,0.435,87,3,22,11,16
3,2,8,5,6,5,2,5,10,2,4,2,8,3,5,8,7,5,3,4,0.485,97,11,11,13,15
3,4,2,3,1,3,1,7,1,8,6,2,4,5,4,7,4,5,4,7,0.405,81,11,12,12,11
7,4,2,3,4,8,8,7,2,8,4,6,3,6,6,6,3,9,8,5,0.545,109,14,19,15,15
5,5,3,6,2,3,8,6,8,5,6,7,5,7,5,11,5,3,7,3,0.55,110,18,17,13,16
7,7,4,3,7,6,4,6,4,3,7,4,7,7,9,8,4,4,2,6,0.545,109,10,23,13,14
3,3,7,5,4,6,6,1,6,7,4,6,6,4,5,10,7,6,5,8,0.545,109,15,12,16,14
